"Xloc","Yloc","long","lat","Landuse","Rock","Cd","Co","Cr","Cu","Ni","Pb","Zn"
2.538,3.314,6.85236507886735,47.1412140029378,"Meadow","Sequanian",1.655,8.96,50.6,31.52,17.32,90.36,81.6
2.402,3.979,6.8504678358523,47.1471663834613,"Meadow","Argovian",0.515,4.08,30.12,13.12,8.2,26.96,43.2
2.456,3.99,6.85117389012023,47.1472702276505,"Meadow","Argovian",0.35,3.272,26.32,11.6,4.92,27.68,37.16
2.537,3.768,6.85227396167716,47.1452865201186,"Meadow","Argovian",0.23,3.792,18.2,8.72,5.68,26.84,32.08
2.584,3.649,6.85291055192133,47.1442235186038,"Meadow","Quaternary",0.305,3.72,18,17.12,5.6,48.4,44.8
3.887,1.663,6.87032739622113,47.126531133533,"Meadow","Kimmeridgian",1.535,15.2,40.72,29.6,32.4,56.8,85.6
4.412,1.088,6.87730393970137,47.1214219214346,"Meadow","Quaternary",1.53,17.72,39.52,17.72,26.4,47.6,80.8
2.795,3.645,6.85567732221578,47.1442077490497,"Meadow","Quaternary",0.3,4.24,17.32,13.4,6.32,37.76,27.12
2.837,3.679,6.85622209739572,47.1445167420865,"Meadow","Quaternary",0.425,5.08,22.72,4.68,8,22.56,31.48
2.832,3.676,6.85615706354171,47.1444893550209,"Meadow","Quaternary",0.36,6.68,26.12,4.44,11.8,18.96,28.92
3.308,2.963,6.86251847266547,47.1381384675691,"Meadow","Quaternary",1.06,17.32,36,28,23.92,50,78.4
3.422,2.851,6.86403179944335,47.1371445166958,"Meadow","Sequanian",0.9,9.52,38.72,49,26.2,70.4,94.8
3.692,2.43,6.86764212511558,47.1333932962754,"Forest","Kimmeridgian",1.61,5,19.4,9.44,8.76,42.8,31.16
4.331,1.449,6.87618196800247,47.1246527911459,"Meadow","Quaternary",0.95,12,29.2,19.6,18.72,37.88,61.2
4.333,1.455,6.87620717074573,47.1247068003084,"Meadow","Quaternary",0.82,10.32,29.8,32.1,16.72,63.2,67.6
4.502,1.167,6.87847006515596,47.1221389350211,"Meadow","Quaternary",0.86,12.12,28.4,12.7,20.12,37.08,61.6
3.228,3.617,6.86135846760338,47.1439976393606,"Meadow","Kimmeridgian",1.835,13.32,47.4,45.92,24,80.4,90
3.768,2.775,6.8685799125044,47.1364952617391,"Forest","Kimmeridgian",0.22,10.8,26.32,6.672,17.52,31.88,45.2
3.768,2.675,6.86859681979262,47.1355982065547,"Forest","Kimmeridgian",1.095,12.12,41.32,6.2,28.8,46.8,56.8
3.798,2.694,6.86898682826963,47.1357714570442,"Forest","Kimmeridgian",0.995,9.68,32.8,5.38,19.12,51.2,54
4.59,1.414,6.87958192579323,47.1243628115198,"Meadow","Kimmeridgian",0.96,11.72,35.2,16.4,21.92,30.76,64.8
4.571,1.407,6.87933410932101,47.1242982608348,"Meadow","Kimmeridgian",1.4,10.72,38.64,15.24,26.4,38.4,70.8
4.745,1.372,6.88162014482879,47.124000356044,"Meadow","Kimmeridgian",0.69,11.96,35.64,16.44,23.68,34.12,66.4
4.788,1.647,6.88213777842844,47.1264712327439,"Meadow","Kimmeridgian",0.72,8.8,34.08,11.4,26.72,32.68,63.2
2.974,4.937,6.85780309398148,47.1558146537629,"Pasture","Argovian",2.26,5.88,36.44,12.64,21.52,36.28,77.6
2.906,4.922,6.85691402724101,47.1556736383898,"Forest","Argovian",1.13,4.32,20.32,5.92,13.2,21.6,32.84
3.109,4.729,6.85960874213761,47.1539615904856,"Meadow","Argovian",0.645,3.124,22.68,8.4,8.88,28.56,42.4
3.04,4.713,6.85870676045944,47.1538115237024,"Meadow","Argovian",0.63,3.668,23.96,7.24,9.36,26,36.64
3.919,3.466,6.87044253568481,47.1427080400727,"Meadow","Quaternary",0.86,9.76,28.4,12.8,17.48,28.6,58.8
4.189,3.045,6.87405278730922,47.1389566230697,"Meadow","Portlandian",1.645,8.08,46.4,35.6,20.32,67.6,90.4
3.652,4.312,6.8667991100748,47.1502720944659,"Forest","Sequanian",3.149,10.72,51.2,8.24,27.72,56,98
3.894,3.805,6.87005756976884,47.1457467146941,"Meadow","Quaternary",0.552,14.32,29,50,20.12,91.2,79.2
3.917,3.773,6.87036449713703,47.1454618081918,"Meadow","Quaternary",1.568,13.56,30.36,18.4,22.28,43.6,71.6
3.925,3.779,6.87046836231918,47.1455163792459,"Meadow","Quaternary",0.855,14.24,29.2,11.4,21,29.68,59.6
4.252,3.292,6.87483709639823,47.1411782097684,"Meadow","Kimmeridgian",0.733,11.8,26,39.2,22.24,65.6,74
4.292,3.29,6.87536178019167,47.1411639865267,"Meadow","Kimmeridgian",2.08,11.92,31.68,71.6,28.64,52.8,110.8
4.283,3.278,6.8752458176232,47.1410555036042,"Meadow","Kimmeridgian",0.844,13.88,37.12,21.04,26.48,34.68,90
3.53,4.999,6.86508299136898,47.1564233690091,"Forest","Argovian",0.49,7.44,34.52,4.64,16.76,31.64,56.8
4.07,4.157,6.87230559152353,47.1489207792002,"Meadow","Sequanian",1.916,14.36,47.6,45.6,28.44,50,90.8
4.61,3.315,6.87952616570845,47.1414177223067,"Forest","Kimmeridgian",1.384,12.68,30.76,7.48,20.72,48,46.8
3.605,5.345,6.86600775134683,47.1595342151085,"Meadow","Sequanian",0.849,9.04,29.48,18.4,17.56,35,58
